1,3,4,1,0,0,0,0,1,0
1,3,3,1,0,0,0,0,0,1
1,3,3,1,0,0,0,1,0,0
1,3,7,1,0,0,0,0,0,0
1,3,6,1,0,0,0,1,0,1
1,3,6,1,0,0,0,0,0,0
1,3,4,1,0,0,0,0,0,0
1,3,5,1,0,0,0,1,0,1
1,3,8,1,0,0,0,0,0,0
1,3,7,1,0,0,0,0,0,0
2,3,12,1,0,0,0,0,1,1
1,3,0,0,0,0,0,0,1,0
1,3,0,1,0,0,0,0,0,0
1,3,12,1,0,0,0,0,1,1
1,3,8,1,0,0,0,0,1,0
1,3,5,1,0,0,0,0,1,1
1,4,10,2,0,1,0,0,0,0
2,4,1,2,0,0,2,0,0,0
1,3,1,1,0,0,0,0,1,0
1,3,2,1,0,0,0,0,1,1
1,3,7,1,0,0,0,0,1,1
3,3,5,1,0,1,1,1,0,1
2,3,8,1,0,1,0,1,0,0
1,3,8,1,0,0,1,0,0,0
1,3,7,1,0,0,1,1,1,1
2,3,7,1,0,0,1,1,1,1
1,3,9,1,0,0,1,1,1,1
2,0,5,4,0,0,1,0,1,0
1,4,1,4,0,0,1,0,1,1
2,4,10,2,0,1,1,1,1,1
3,4,13,2,0,1,2,0,1,1
2,3,11,0,0,0,0,0,1,1
1,3,7,1,0,0,0,0,1,0
1,3,2,1,0,0,1,0,0,1
1,3,4,1,0,0,0,0,1,1
1,3,3,1,0,0,1,0,0,0
1,3,11,1,0,0,0,1,1,0
3,3,5,6,0,0,1,2,1,1
1,3,6,5,0,0,1,0,2,0
2,3,5,4,0,0,1,1,1,1
3,3,7,3,0,0,1,0,1,1
0,3,5,2,0,0,1,1,1,1
1,3,6,0,0,0,0,0,1,1
1,3,5,1,0,0,0,0,0,1
1,3,5,1,0,0,0,0,0,1
1,3,10,1,0,0,0,0,0,1
1,3,9,1,0,0,1,0,0,1
2,3,8,9,0,0,1,2,1,1
3,3,5,9,0,0,1,1,2,1
6,3,4,8,0,0,1,0,1,2
6,3,9,8,0,0,0,1,1,2
5,3,9,8,0,0,1,1,1,2
4,3,4,7,0,0,1,2,2,2
6,3,4,7,0,0,1,2,2,2
3,3,4,7,0,0,1,2,2,2
1,3,6,6,0,0,1,1,1,2
2,3,2,4,0,0,1,1,1,3
0,3,3,3,0,0,1,1,1,0
2,3,6,3,0,0,0,0,1,1
0,3,9,3,0,0,0,0,1,1
2,3,1,1,0,0,0,1,0,1
