13,164,2
20,4,2
19,6,2
7,36,2
-17,0,2
-53,0,2
-39,0,2
-17,3,2
-15,0,2
-13,0,2
-11,0,2
-25,2,2
-50,10,2
-14,0,2
-25,0,2
6,0,2
23,40,2
8,31,2
-2,4,2
13,22,2
5,90,2
15,2,2
51,18,2
58,18,2
50,50,2
43,7,2
36,85,2
35,0,2
32,0,2
25,0,2
24,5,2
2,72,2
3,0,2
14,15,2
9,0,2
12,0,2
39,0,2
46,3,2
47,8,2
41,2,2
41,18,2
67,0,2
91,0,2
102,4,2
113,97,2
70,22,2
77,0,2
76,5,2
117,0,2
139,0,2
99,4,2
79,7,2
75,9,2
76,0,2
100,9,2
70,21,2
50,32,2
80,33,2
78,0,2
68,99,2
77,34,2
102,2,2
116,0,2
85,0,2
89,2,2
71,0,2
74,0,2
84,0,2
78,0,2
86,0,2
86,0,2
79,0,2
82,0,2
82,0,2
70,0,2
73,5,2
66,3,2
69,0,2
80,0,2
111,0,2
147,0,2
113,2,2
114,0,2
148,0,2
119,30,2
103,0,2
82,5,2
77,84,2
79,4,2
83,6,2
87,0,3
77,24,3
81,16,3
85,0,3
77,0,3
76,0,3
71,61,3
86,6,3
90,0,3
101,0,3
111,0,3
104,0,3
104,0,3
115,0,3
131,0,3
125,0,3
113,0,3
150,0,3
133,34,3
112,0,3
106,0,3
112,0,3
113,0,3
136,0,3
126,21,3
130,12,3
142,0,3
144,0,3
145,0,3
141,0,3
142,0,3
175,0,3
142,15,3
171,0,3
168,29,3
184,31,3
161,19,3
138,66,3
134,0,3
130,0,3
134,0,3
138,0,3
133,0,3
118,14,3
122,4,3
127,0,3
139,0,3
172,0,3
180,0,3
174,0,3
167,0,3
191,0,3
202,0,3
188,0,3
176,27,3
200,0,3
240,0,3
208,0,3
201,24,3
186,0,3
171,0,3
187,0,3
209,0,3
241,0,3
242,0,3
224,276,3
208,4,3
199,50,3
231,0,3
190,152,3
190,1,3
172,5,3
181,28,3
208,0,3
240,0,3
219,0,3
194,0,3
185,5,3
165,0,3
180,0,3
179,115,3
186,35,3
181,26,3
172,15,3
172,8,3
172,0,3
186,66,3
175,0,3
173,5,3
160,0,3
165,117,4
175,0,4
170,0,4
179,6,4
177,0,4
171,283,4
160,2,4
164,11,4
183,0,4
186,0,4
185,56,4
166,0,4
170,30,4
169,0,4
196,0,4
200,0,4
187,0,4
179,45,4
160,60,4
157,13,4
144,55,4
151,146,4
144,51,4
126,70,4
154,274,4
154,5,4
157,2,4
159,0,4
153,2,4
157,0,4
142,0,4
145,0,4
134,0,4
147,3,4
148,13,4
153,0,4
175,30,4
162,0,4
157,0,4
160,168,4
140,88,4
134,97,4
125,59,4
122,44,4
126,38,4
145,89,4
141,128,4
158,0,4
163,0,4
148,66,4
120,5,4
106,50,4
133,100,4
125,7,4
103,0,4
100,0,4
123,12,4
138,34,4
177,16,4
172,0,4
155,0,4
156,0,4
144,18,4
146,0,4
120,0,4
107,0,4
111,0,4
121,0,4
121,0,4
122,0,4
113,5,4
94,173,4
72,23,4
83,0,4
95,114,4
85,56,4
86,52,4
101,149,4
81,57,4
90,104,4
96,6,4
78,0,4
90,60,4
109,6,4
101,38,4
111,1,4
92,2,4
99,0,4
115,65,4
134,30,4
